Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA
05/08/2011,Dortmund,Hamburg,3,1,H,2,0,H,1.57,3.8,6,1.5,4.2,5.75
06/08/2011,Augsburg,Freiburg,2,2,D,0,0,D,2.25,3.4,3.1,2.2,3.3,3.1
06/08/2011,FC Koln,Wolfsburg,0,3,A,0,1,A,2.5,3.4,2.7,2.45,3.4,2.65
06/08/2011,Hannover,Hoffenheim,2,1,H,2,1,H,2.1,3.4,3.4,2.15,3.25,3.25
06/08/2011,Hertha,Nurnberg,0,1,A,0,0,D,2.1,3.4,3.4,2,3.4,3.5
06/08/2011,Stuttgart,Schalke 04,3,0,H,1,0,H,2.2,3.4,3.2,2.3,3.3,2.9
06/08/2011,Werder Bremen,Kaiserslautern,2,0,H,0,0,D,1.8,3.6,4.33,1.88,3.55,3.75
07/08/2011,Bayern Munich,M'gladbach,0,1,A,0,0,D,1.2,6.5,13,1.22,6,10.5
07/08/2011,Mainz,Leverkusen,2,0,H,1,0,H,3.8,3.5,1.95,4,3.5,1.85
13/08/2011,Freiburg,Mainz,1,2,A,0,0,D,2.3,3.4,3,2.35,3.4,2.8
13/08/2011,Hamburg,Hertha,2,2,D,1,1,D,1.95,3.6,3.6,1.88,3.5,3.8
13/08/2011,Hoffenheim,Dortmund,1,0,H,1,0,H,4.5,3.75,1.73,4.4,3.8,1.7
13/08/2011,M'gladbach,Stuttgart,1,1,D,0,0,D,2.5,3.4,2.7,2.45,3.5,2.6
13/08/2011,Nurnberg,Hannover,1,2,A,0,2,A,2.3,3.4,3,2.2,3.3,3.1
13/08/2011,Schalke 04,FC Koln,5,1,H,1,1,D,1.62,3.8,5.5,1.55,4,5.5
13/08/2011,Wolfsburg,Bayern Munich,0,1,A,0,0,D,4,3.75,1.83,3.9,3.6,1.83
14/08/2011,Kaiserslautern,Augsburg,1,1,D,0,1,A,1.83,3.5,4.2,1.83,3.4,4.15
14/08/2011,Leverkusen,Werder Bremen,1,0,H,0,0,D,1.83,3.6,4.2,1.83,3.75,3.75
19/08/2011,M'gladbach,Wolfsburg,4,1,H,3,1,H,2.7,3.3,2.6,2.75,3.5,2.5
20/08/2011,Augsburg,Hoffenheim,0,2,A,0,1,A,2.8,3.3,2.5,2.85,3.5,2.45
20/08/2011,Bayern Munich,Hamburg,5,0,H,3,0,H,1.33,5,9,1.31,5.25,8.5
20/08/2011,Dortmund,Nurnberg,2,0,H,0,0,D,1.29,5,11,1.31,5.25,8.75
20/08/2011,FC Koln,Kaiserslautern,1,1,D,1,1,D,2.3,3.3,3.1,2.3,3.4,2.95
20/08/2011,Stuttgart,Leverkusen,0,1,A,0,1,A,2.3,3.4,3,2.5,3.4,2.8
20/08/2011,Werder Bremen,Freiburg,5,3,H,2,1,H,1.55,4,6,1.6,4,5
21/08/2011,Hannover,Hertha,1,1,D,1,0,H,2.2,3.3,3.3,2.1,3.4,3.3
21/08/2011,Mainz,Schalke 04,2,4,A,2,0,H,2.5,3.3,2.75,2.5,3.4,2.85
26/08/2011,Hertha,Stuttgart,1,0,H,0,0,D,2.5,3.4,2.7,2.6,3.6,2.6
27/08/2011,Freiburg,Wolfsburg,3,0,H,2,0,H,2.8,3.25,2.5,2.85,3.5,2.3
27/08/2011,Hamburg,FC Koln,3,4,A,1,1,D,1.85,3.6,4,1.88,3.5,4
27/08/2011,Hoffenheim,Werder Bremen,1,2,A,1,1,D,2.3,3.4,3,2.3,3.6,3
27/08/2011,Kaiserslautern,Bayern Munich,0,3,A,0,1,A,6.5,4.2,1.5,6,4.2,1.5
27/08/2011,Leverkusen,Dortmund,0,0,D,0,0,D,2.6,3.4,2.6,2.7,3.5,2.55
27/08/2011,Nurnberg,Augsburg,1,0,H,0,0,D,1.73,3.6,4.75,1.78,3.5,4.5
28/08/2011,Hannover,Mainz,1,1,D,1,1,D,2.3,3.4,3,2.15,3.5,3.1
28/08/2011,Schalke 04,M'gladbach,1,0,H,0,0,D,1.8,3.6,4.33,1.8,3.7,4.1
09/09/2011,Augsburg,Leverkusen,1,4,A,1,2,A,5,3.75,1.67,5,3.7,1.72
10/09/2011,Bayern Munich,Freiburg,7,0,H,3,0,H,1.17,7,15,1.16,7.5,13.5
10/09/2011,Dortmund,Hertha,1,2,A,0,0,D,1.4,4.5,8,1.4,4.5,7.5
10/09/2011,Mainz,Hoffenheim,0,4,A,0,2,A,2.2,3.3,3.25,2.2,3.3,3.2
10/09/2011,M'gladbach,Kaiserslautern,1,0,H,0,0,D,1.91,3.6,3.75,1.85,3.5,4.1
10/09/2011,Stuttgart,Hannover,3,0,H,1,0,H,1.85,3.6,4,1.88,3.6,3.9
10/09/2011,Werder Bremen,Hamburg,2,0,H,0,0,D,1.6,4.2,5,1.65,4.25,4.75
11/09/2011,FC Koln,Nurnberg,1,2,A,1,2,A,2.6,3.25,2.7,2.55,3.3,2.65
11/09/2011,Wolfsburg,Schalke 04,2,1,H,1,1,D,2.5,3.3,2.75,2.6,3.5,2.65
16/09/2011,Freiburg,Stuttgart,1,2,A,0,1,A,3.3,3.5,2.1,3.4,3.6,2.1
17/09/2011,Hamburg,M'gladbach,0,1,A,0,0,D,2.4,3.5,2.8,2.4,3.5,2.9
17/09/2011,Hertha,Augsburg,2,2,D,0,1,A,1.57,3.8,6,1.55,3.9,6
17/09/2011,Hoffenheim,Wolfsburg,3,1,H,2,0,H,1.95,3.6,3.6,2,3.5,3.5
17/09/2011,Kaiserslautern,Mainz,3,1,H,1,1,D,2.5,3.4,2.7,2.4,3.4,2.8
17/09/2011,Leverkusen,FC Koln,1,4,A,0,1,A,1.4,4.6,7.5,1.42,4.6,6.75
17/09/2011,Nurnberg,Werder Bremen,1,1,D,0,1,A,2.63,3.5,2.5,2.7,3.6,2.5
18/09/2011,Hannover,Dortmund,2,1,H,0,0,D,4.2,3.5,1.85,4.4,3.6,1.83
18/09/2011,Schalke 04,Bayern Munich,0,2,A,0,1,A,5,3.8,1.67,4.75,3.9,1.65
23/09/2011,Stuttgart,Hamburg,1,2,A,1,0,H,1.57,4,5.5,1.57,4.25,5
24/09/2011,Augsburg,Hannover,0,0,D,0,0,D,2.88,3.4,2.38,2.95,3.5,2.25
24/09/2011,Bayern Munich,Leverkusen,3,0,H,2,0,H,1.33,5,9,1.31,5,9.5
24/09/2011,Mainz,Dortmund,1,2,A,1,0,H,3.75,3.6,1.91,4,3.5,1.88
24/09/2011,M'gladbach,Nurnberg,1,0,H,0,0,D,2.1,3.4,3.4,2.05,3.4,3.75
24/09/2011,Schalke 04,Freiburg,4,2,H,1,1,D,1.36,4.75,8.5,1.4,4.75,7
24/09/2011,Wolfsburg,Kaiserslautern,1,0,H,0,0,D,1.83,3.75,4,1.78,3.7,4.2
25/09/2011,FC Koln,Hoffenheim,2,0,H,1,0,H,3,3.4,2.3,2.9,3.6,2.35
25/09/2011,Werder Bremen,Hertha,2,1,H,1,1,D,1.83,3.5,4.33,1.8,3.75,4
30/09/2011,Kaiserslautern,Stuttgart,0,2,A,0,0,D,2.88,3.4,2.38,3.1,3.4,2.3
01/10/2011,Dortmund,Augsburg,4,0,H,2,0,H,1.25,5.5,12,1.23,6.25,10
01/10/2011,Freiburg,M'gladbach,1,0,H,1,0,H,3.1,3.3,2.3,2.8,3.5,2.35
01/10/2011,Hertha,FC Koln,3,0,H,3,0,H,1.91,3.5,4,2.05,3.75,3.4
01/10/2011,Hoffenheim,Bayern Munich,0,0,D,0,0,D,6.5,4.5,1.44,6.25,4.25,1.48
01/10/2011,Leverkusen,Wolfsburg,3,1,H,1,0,H,1.67,3.75,5,1.72,3.9,4.75
01/10/2011,Nurnberg,Mainz,3,3,D,2,2,D,2.1,3.25,3.5,2.1,3.4,3.3
02/10/2011,Hamburg,Schalke 04,1,2,A,1,1,D,2.75,3.3,2.5,2.7,3.6,2.5
02/10/2011,Hannover,Werder Bremen,3,2,H,2,1,H,2.75,3.3,2.5,2.6,3.5,2.65
14/10/2011,Werder Bremen,Dortmund,0,2,A,0,1,A,2.8,3.5,2.4,2.9,3.5,2.4
15/10/2011,Bayern Munich,Hertha,4,0,H,3,0,H,1.2,6.5,13,1.2,6.75,11
15/10/2011,Mainz,Augsburg,0,1,A,0,0,D,1.67,3.75,5,1.65,3.8,5
15/10/2011,M'gladbach,Leverkusen,2,2,D,0,1,A,2.6,3.4,2.6,2.75,3.4,2.55
15/10/2011,Schalke 04,Kaiserslautern,1,2,A,0,1,A,1.44,4.2,7.5,1.48,4.2,6.5
