Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA
23/08/2014,Almeria,Espanol,1,1,D,0,0,D,2.55,3.3,2.7,2.55,3.25,2.7
23/08/2014,Granada,La Coruna,2,1,H,0,1,A,1.95,3.2,4.2,2.05,3.3,3.6
23/08/2014,Malaga,Ath Bilbao,1,0,H,1,0,H,2.8,3.3,2.45,2.75,3.2,2.55
23/08/2014,Sevilla,Valencia,1,1,D,1,0,H,2.05,3.5,3.5,2.05,3.3,3.6
24/08/2014,Barcelona,Elche,3,0,H,1,0,H,1.1,9,21,1.1,8.75,21
24/08/2014,Celta,Getafe,3,1,H,1,0,H,1.91,3.4,4,1.91,3.3,4.1
24/08/2014,Eibar,Sociedad,1,0,H,1,0,H,3.25,3.4,2.2,3.2,3.2,2.25
24/08/2014,Levante,Villarreal,0,2,A,0,0,D,3.4,3.4,2.1,3.2,3.25,2.2
25/08/2014,Real Madrid,Cordoba,2,0,H,1,0,H,1.06,11,29,1.08,10,23
25/08/2014,Vallecano,Ath Madrid,0,0,D,0,0,D,7,4,1.5,5.75,4,1.55
29/08/2014,Getafe,Almeria,1,0,H,1,0,H,2,3.4,3.75,2.05,3.3,3.6
29/08/2014,Valencia,Malaga,3,0,H,2,0,H,1.55,4.2,5.5,1.6,3.5,6.25
30/08/2014,Ath Bilbao,Levante,3,0,H,1,0,H,1.33,5,9,1.36,4.4,9
30/08/2014,Ath Madrid,Eibar,2,1,H,2,1,H,1.22,5.75,13,1.25,5.5,11.5
30/08/2014,Cordoba,Celta,1,1,D,0,0,D,3.3,3.3,2.2,3.1,3.2,2.3
30/08/2014,Espanol,Sevilla,1,2,A,0,1,A,2.5,3.2,2.88,2.55,3.25,2.7
31/08/2014,Elche,Granada,1,1,D,0,0,D,2.2,3.2,3.4,2.3,3.1,3.2
31/08/2014,La Coruna,Vallecano,2,2,D,1,1,D,2.25,3.3,3.2,2.35,3.25,3
31/08/2014,Sociedad,Real Madrid,4,2,H,2,2,D,7.5,5,1.36,7.5,4.6,1.4
31/08/2014,Villarreal,Barcelona,0,1,A,0,0,D,5,4.2,1.57,5.75,3.75,1.6
12/09/2014,Almeria,Cordoba,1,1,D,1,1,D,2.05,3.3,3.6,2.05,3.2,3.75
13/09/2014,Barcelona,Ath Bilbao,2,0,H,0,0,D,1.3,5.5,8.5,1.33,5,8.5
13/09/2014,Celta,Sociedad,2,2,D,1,0,H,2.2,3.3,3.3,2.3,3.3,3
13/09/2014,Malaga,Levante,0,0,D,0,0,D,1.62,3.6,6,1.62,3.6,5.75
13/09/2014,Real Madrid,Ath Madrid,1,2,A,1,1,D,1.67,3.75,5,1.72,3.8,4.5
14/09/2014,Granada,Villarreal,0,0,D,0,0,D,3.5,3.2,2.15,3.4,3.1,2.2
14/09/2014,Sevilla,Getafe,2,0,H,1,0,H,1.44,4.33,7,1.5,4.1,6.25
14/09/2014,Valencia,Espanol,3,1,H,1,0,H,1.62,3.75,5.5,1.65,3.7,5.25
14/09/2014,Vallecano,Elche,2,3,A,1,1,D,1.73,3.5,5,1.8,3.4,4.5
15/09/2014,Eibar,La Coruna,0,1,A,0,1,A,2.1,3.2,3.6,2.05,3.3,3.6
19/09/2014,Elche,Eibar,0,2,A,0,2,A,2.15,3,3.8,2.35,3.2,3.3
20/09/2014,Ath Bilbao,Granada,0,1,A,0,1,A,1.44,4.2,7.5,1.48,4.33,7.5
20/09/2014,Ath Madrid,Celta,2,2,D,2,1,H,1.44,4.2,7.5,1.53,4,7.5
20/09/2014,Espanol,Malaga,2,2,D,1,0,H,2,3.3,3.75,2.25,3.4,3.3
20/09/2014,La Coruna,Real Madrid,2,8,A,0,3,A,9.5,6,1.25,9.75,5.5,1.33
21/09/2014,Cordoba,Sevilla,1,3,A,0,1,A,3.8,3.3,2,3.8,3.5,2.05
21/09/2014,Levante,Barcelona,0,5,A,0,2,A,15,7.5,1.18,14,6.75,1.22
21/09/2014,Sociedad,Almeria,1,2,A,0,1,A,1.44,4.5,6.5,1.5,4.25,7.25
21/09/2014,Villarreal,Vallecano,4,2,H,1,2,A,1.53,3.8,6.5,1.6,4,6
22/09/2014,Getafe,Valencia,0,3,A,0,2,A,3.6,3.3,2.05,3.75,3.4,2.1
23/09/2014,Celta,La Coruna,2,1,H,1,0,H,1.57,3.75,6,1.62,3.75,5.5
23/09/2014,Real Madrid,Elche,5,1,H,3,1,H,1.08,12,23,1.08,10,21
24/09/2014,Almeria,Ath Madrid,0,1,A,0,0,D,6,3.8,1.57,5.75,3.6,1.62
24/09/2014,Eibar,Villarreal,1,1,D,1,0,H,3.4,3,2.3,3.1,3.1,2.35
24/09/2014,Granada,Levante,0,1,A,0,0,D,1.5,3.9,7,1.57,3.9,5.75
24/09/2014,Malaga,Barcelona,0,0,D,0,0,D,9,5,1.33,8.25,4.75,1.36
24/09/2014,Sevilla,Sociedad,1,0,H,1,0,H,1.8,3.6,4.33,1.8,3.5,4.33
24/09/2014,Vallecano,Ath Bilbao,2,1,H,1,1,D,3.1,3.4,2.25,3.1,3.2,2.3
25/09/2014,Espanol,Getafe,2,0,H,0,0,D,1.67,3.6,5.5,1.72,3.6,4.75
25/09/2014,Valencia,Cordoba,3,0,H,2,0,H,1.33,5,8.5,1.36,4.5,8.75
26/09/2014,Elche,Celta,0,1,A,0,0,D,2.8,3.4,2.4,2.95,3.1,2.45
27/09/2014,Ath Bilbao,Eibar,0,0,D,0,0,D,1.53,3.75,7,1.57,3.6,6.5
27/09/2014,Ath Madrid,Sevilla,4,0,H,2,0,H,1.67,4,4.75,1.75,3.5,4.75
27/09/2014,Barcelona,Granada,6,0,H,3,0,H,1.13,8.5,17,1.14,7.5,16
27/09/2014,Levante,Vallecano,0,2,A,0,2,A,3,3.2,2.4,2.7,3.3,2.5
27/09/2014,Villarreal,Real Madrid,0,2,A,0,2,A,5.25,4,1.62,4.75,3.8,1.67
28/09/2014,Cordoba,Espanol,0,0,D,0,0,D,2.7,3.25,2.6,2.65,3.2,2.65
28/09/2014,Getafe,Malaga,1,0,H,1,0,H,3,3.2,2.38,2.75,3.1,2.6
28/09/2014,La Coruna,Almeria,0,1,A,0,0,D,2.05,3.4,3.6,2.1,3.3,3.4
28/09/2014,Sociedad,Valencia,1,1,D,1,1,D,2.63,3.3,2.63,2.6,3.3,2.6
03/10/2014,Getafe,Cordoba,1,1,D,0,0,D,1.95,3.2,4.2,2.05,3.2,3.75
04/10/2014,Almeria,Elche,2,2,D,1,1,D,2.15,3.1,3.6,2.15,3.3,3.3
04/10/2014,Eibar,Levante,3,3,D,0,2,A,1.8,3.4,4.75,1.8,3.25,4.75
04/10/2014,Malaga,Granada,2,1,H,0,1,A,1.8,3.5,4.5,1.83,3.25,4.6
04/10/2014,Valencia,Ath Madrid,3,1,H,3,1,H,2.75,3.2,2.6,2.75,3.3,2.65
04/10/2014,Vallecano,Barcelona,0,2,A,0,2,A,9,6.5,1.25,8.75,5.5,1.3
05/10/2014,Celta,Villarreal,1,3,A,1,2,A,2.38,3.2,3,2.45,3.2,2.85
05/10/2014,Espanol,Sociedad,2,0,H,1,0,H,2.5,3.25,2.8,2.45,3.25,2.85
05/10/2014,Real Madrid,Ath Bilbao,5,0,H,2,0,H,1.2,6.5,15,1.22,6,11.5
05/10/2014,Sevilla,La Coruna,4,1,H,2,1,H,1.4,4.4,8,1.42,4.25,7.5
17/10/2014,Granada,Vallecano,0,1,A,0,0,D,2.2,3.3,3.3,2.25,3.3,3.1
18/10/2014,Ath Bilbao,Celta,1,1,D,1,0,H,1.91,3.6,3.75,2,3.4,3.6
18/10/2014,Barcelona,Eibar,3,0,H,0,0,D,1.1,9,21,1.12,7.75,23
18/10/2014,Cordoba,Malaga,1,2,A,0,2,A,3.25,3,2.38,2.95,3.2,2.4
18/10/2014,Levante,Real Madrid,0,5,A,0,2,A,13,7.5,1.17,12.5,6.5,1.2
19/10/2014,Ath Madrid,Espanol,2,0,H,1,0,H,1.33,4.75,9.5,1.36,4.4,9
19/10/2014,Elche,Sevilla,0,2,A,0,0,D,3.6,3.4,2.05,3.7,3.25,2.05
19/10/2014,La Coruna,Valencia,3,0,H,2,0,H,4.5,3.4,1.83,4,3.4,1.91
19/10/2014,Villarreal,Almeria,2,0,H,1,0,H,1.33,5,9,1.36,4.6,8.25
20/10/2014,Sociedad,Getafe,1,2,A,0,0,D,1.53,4,6,1.57,3.75,6
24/10/2014,Celta,Levante,3,0,H,1,0,H,1.44,4.5,6,1.5,4.1,6.25
25/10/2014,Almeria,Ath Bilbao,0,1,A,0,0,D,3.3,3.25,2.2,3.2,3.2,2.25
25/10/2014,Cordoba,Sociedad,1,1,D,0,1,A,3.4,3.2,2.2,3,3.3,2.3
25/10/2014,Eibar,Granada,1,1,D,1,1,D,2.1,3.1,3.75,2.15,3.25,3.4
25/10/2014,Real Madrid,Barcelona,3,1,H,1,1,D,2.38,3.75,3,2.4,3.6,2.9
25/10/2014,Valencia,Elche,3,1,H,2,0,H,1.36,4.75,8.5,1.36,4.6,8.25
26/10/2014,Espanol,La Coruna,0,0,D,0,0,D,1.91,3.4,4,1.91,3.3,4.1
26/10/2014,Getafe,Ath Madrid,0,1,A,0,1,A,7,3.75,1.53,6,3.8,1.57
26/10/2014,Malaga,Vallecano,4,0,H,3,0,H,1.83,3.5,4.33,1.91,3.3,4.1
26/10/2014,Sevilla,Villarreal,2,1,H,0,0,D,2,3.4,3.75,2.1,3.25,3.5
31/10/2014,La Coruna,Getafe,1,2,A,0,1,A,2.2,3.1,3.5,2.3,3.1,3.2
01/11/2014,Ath Madrid,Cordoba,4,2,H,1,0,H,1.18,6.5,15,1.2,6,14.5
01/11/2014,Barcelona,Celta,0,1,A,0,0,D,1.13,8.5,17,1.11,8.25,19
01/11/2014,Granada,Real Madrid,0,4,A,0,2,A,12,7,1.2,10.5,5.75,1.25
01/11/2014,Sociedad,Malaga,0,1,A,0,0,D,2.2,3.4,3.2,2.1,3.3,3.4
02/11/2014,Ath Bilbao,Sevilla,1,0,H,1,0,H,2.4,3.3,2.9,2.4,3.25,2.9
02/11/2014,Elche,Espanol,2,1,H,1,0,H,2.63,3.1,2.75,2.65,3.2,2.65
02/11/2014,Levante,Almeria,2,1,H,1,0,H,2.4,3.1,3.1,2.4,3.1,3
02/11/2014,Villarreal,Valencia,1,3,A,0,1,A,2.1,3.4,3.4,2.1,3.3,3.4
03/11/2014,Vallecano,Eibar,2,3,A,0,1,A,2.05,3.2,3.8,2.05,3.2,3.75
07/11/2014,Cordoba,La Coruna,0,0,D,0,0,D,2.25,3.1,3.4,2.35,3.1,3.1
