Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA
16/08/2014,Arsenal,Crystal Palace,2,1,H,1,1,D,1.25,6.5,15,1.25,5.5,12
16/08/2014,Leicester,Everton,2,2,D,1,2,A,3.2,3.4,2.4,2.9,3.2,2.4
16/08/2014,Man United,Swansea,1,2,A,0,1,A,1.36,5,11,1.4,4.75,9
16/08/2014,QPR,Hull,0,1,A,0,0,D,2.5,3.3,3.1,2.5,3.1,2.85
16/08/2014,Stoke,Aston Villa,0,1,A,0,0,D,1.95,3.5,4.5,1.95,3.3,3.9
16/08/2014,West Brom,Sunderland,2,2,D,1,1,D,2.25,3.4,3.5,2.3,3.25,3.1
16/08/2014,West Ham,Tottenham,0,1,A,0,0,D,3.8,3.6,2.05,3.5,3.4,2.05
17/08/2014,Liverpool,Southampton,2,1,H,1,0,H,1.33,5.75,10,1.36,4.5,8.75
17/08/2014,Newcastle,Man City,0,2,A,0,1,A,5.25,4.33,1.67,4.75,3.8,1.67
18/08/2014,Burnley,Chelsea,1,3,A,1,3,A,9,5,1.4,7.5,4.6,1.4
23/08/2014,Aston Villa,Newcastle,0,0,D,0,0,D,2.5,3.4,3,2.6,3.25,2.9
23/08/2014,Chelsea,Leicester,2,0,H,0,0,D,1.2,7.5,17,1.25,6.25,12.5
23/08/2014,Crystal Palace,West Ham,1,3,A,0,2,A,2.5,3.3,3.1,2.5,3,2.95
23/08/2014,Everton,Arsenal,2,2,D,2,0,H,2.8,3.4,2.7,2.75,3.25,2.7
23/08/2014,Southampton,West Brom,0,0,D,0,0,D,1.85,3.7,4.75,1.87,3.75,4.2
23/08/2014,Swansea,Burnley,1,0,H,1,0,H,1.65,4,6,1.7,3.6,5.75
24/08/2014,Hull,Stoke,1,1,D,1,0,H,2.5,3.25,3.2,2.55,3.2,2.95
24/08/2014,Sunderland,Man United,1,1,D,1,1,D,5,4,1.75,4.4,3.75,1.83
24/08/2014,Tottenham,QPR,4,0,H,3,0,H,1.45,4.75,8,1.48,4.25,7.75
25/08/2014,Man City,Liverpool,3,1,H,1,0,H,1.85,4,4.33,1.87,3.9,4
30/08/2014,Burnley,Man United,0,0,D,0,0,D,6,4.2,1.62,5.75,4,1.62
30/08/2014,Everton,Chelsea,3,6,A,1,2,A,3.75,3.3,2.2,3.5,3.3,2.2
30/08/2014,Man City,Stoke,0,1,A,0,0,D,1.18,8,18,1.18,6.5,14.5
30/08/2014,Newcastle,Crystal Palace,3,3,D,1,1,D,1.75,3.75,5.25,1.75,3.5,4.75
30/08/2014,QPR,Sunderland,1,0,H,1,0,H,2.4,3.25,3.3,2.45,3.2,2.85
30/08/2014,Swansea,West Brom,3,0,H,2,0,H,1.85,3.6,4.75,1.85,3.4,4.2
30/08/2014,West Ham,Southampton,1,3,A,1,1,D,2.8,3.4,2.7,2.6,3.2,2.7
31/08/2014,Aston Villa,Hull,2,1,H,2,0,H,2.3,3.3,3.5,2.35,3.1,3.1
31/08/2014,Leicester,Arsenal,1,1,D,1,1,D,4.75,3.75,1.83,4.33,3.4,1.83
31/08/2014,Tottenham,Liverpool,0,3,A,0,1,A,2.7,3.5,2.7,2.7,3.2,2.7
13/09/2014,Arsenal,Man City,2,2,D,0,1,A,3,3.4,2.5,2.85,3.5,2.5
13/09/2014,Chelsea,Swansea,4,2,H,1,1,D,1.3,5.75,12,1.3,5,9.5
13/09/2014,Crystal Palace,Burnley,0,0,D,0,0,D,2.25,3.3,3.6,2.25,3.2,3.2
13/09/2014,Liverpool,Aston Villa,0,1,A,0,1,A,1.3,6,11,1.3,5.5,11
13/09/2014,Southampton,Newcastle,4,0,H,2,0,H,1.8,3.75,5,1.83,3.3,4.5
13/09/2014,Stoke,Leicester,0,1,A,0,0,D,2.1,3.4,4,2.15,3.4,3.25
13/09/2014,Sunderland,Tottenham,2,2,D,1,1,D,3.6,3.5,2.15,3.4,3.2,2.15
